"","club","sofifa_id","player_url","short_name","long_name","age","dob","height_cm","weight_kg","nationality","overall","potential","value_eur","wage_eur","player_positions","preferred_foot","international_reputation","weak_foot","skill_moves","work_rate","body_type","real_face","release_clause_eur","player_tags","team_position","team_jersey_number","loaned_from","joined","contract_valid_until","nation_position","nation_jersey_number","pace","shooting","passing","dribbling","defending","physic","gk_diving","gk_handling","gk_kicking","gk_reflexes","gk_speed","gk_positioning","player_traits","attacking_crossing","attacking_finishing","attacking_heading_accuracy","attacking_short_passing","attacking_volleys","skill_dribbling","skill_curve","skill_fk_accuracy","skill_long_passing","skill_ball_control","movement_acceleration","movement_sprint_speed","movement_agility","movement_reactions","movement_balance","power_shot_power","power_jumping","power_stamina","power_strength","power_long_shots","mentality_aggression","mentality_interceptions","mentality_positioning","mentality_vision","mentality_penalties","mentality_composure","defending_marking","defending_standing_tackle","defending_sliding_tackle","goalkeeping_diving","goalkeeping_handling","goalkeeping_kicking","goalkeeping_positioning","goalkeeping_reflexes","ls","st","rs","lw","lf","cf","rf","rw","lam","cam","ram","lm","lcm","cm","rcm","rm","lwb","ldm","cdm","rdm","rwb","lb","lcb","cb","rcb","rb","league","country","player_positions.first","player_positions.class"
"3755","Udinese",220048,"https://sofifa.com/player/220048/simone-scuffet/20/159586","S. Scuffet","Simone Scuffet",23,"1996-05-31",190,78,"Italy",72,82,3900000,8000,"GK","Right",2,2,1,"Medium/Medium","Lean","No",7500000,"","SUB",26,"","2013-07-01",2022,"",NA,NA,NA,NA,NA,NA,NA,72,68,60,80,50,70,"Acrobatic Clearance",20,20,18,30,20,13,20,22,34,21,50,50,60,68,45,45,70,40,65,16,35,18,12,33,18,61,15,24,18,72,68,60,70,80,62.3303667745415,62.3303667745415,62.3303667745415,63.7009169363538,63.6413160733549,63.6413160733549,63.6413160733549,63.7009169363538,63.9757281553398,63.9757281553398,63.9757281553398,64.309331175836,63.299622437972,63.299622437972,63.299622437972,64.309331175836,61.5542071197411,61.3052858683927,61.3052858683927,61.3052858683927,61.5542071197411,60.6677454153182,59.4784250269687,59.4784250269687,59.4784250269687,60.6677454153182,"Serie A","Italy","GK","Goal Keeper"
"3756","Udinese",205496,"https://sofifa.com/player/205496/david-nicolas-andrade/20/159586","Nicolas","David Nicolas Andrade",31,"1988-04-12",190,85,"Brazil",69,69,675000,6000,"GK","Right",1,5,1,"Medium/Medium","Normal","No",1100000,"","RES",55,"","2019-07-18",2021,"",NA,NA,NA,NA,NA,NA,NA,71,69,64,71,43,67,"",13,18,12,31,7,12,8,13,31,22,45,41,37,58,45,48,51,32,77,12,27,15,12,47,21,63,8,19,13,71,69,64,67,71,62.3303667745415,62.3303667745415,62.3303667745415,63.7009169363538,63.6413160733549,63.6413160733549,63.6413160733549,63.7009169363538,63.9757281553398,63.9757281553398,63.9757281553398,64.309331175836,63.299622437972,63.299622437972,63.299622437972,64.309331175836,61.5542071197411,61.3052858683927,61.3052858683927,61.3052858683927,61.5542071197411,60.6677454153182,59.4784250269687,59.4784250269687,59.4784250269687,60.6677454153182,"Serie A","Italy","GK","Goal Keeper"
"3757","Udinese",199274,"https://sofifa.com/player/199274/ilja-nestorovski/20/159586","I. Nestorovski","Ilija Nestorovski",29,"1990-03-19",182,75,"FYR Macedonia",74,74,5500000,17000,"ST","Left",1,4,3,"High/Medium","Normal","No",9400000,"","SUB",9,"","2019-07-26",2022,"",NA,71,74,53,71,35,79,NA,NA,NA,NA,NA,NA,"",39,80,70,66,67,71,67,65,45,73,73,69,65,71,74,68,72,85,79,69,71,27,79,42,72,68,41,27,26,14,15,10,11,16,73,73,73,67,70,70,70,67,66,66,66,66,60,60,60,66,52,51,51,51,52,50,49,49,49,50,"Serie A","Italy","ST","Forward"
"3758","Udinese",228681,"https://sofifa.com/player/228681/francisco-sierralta/20/159586","F. Sierralta","Francisco Sierralta",22,"1997-05-06",190,83,"Chile",62,73,475000,2000,"RB, CB","Right",1,3,2,"Medium/High","Lean","No",903000,"#Strength","RES",35,"","2017-07-01",2024,"",NA,54,30,46,51,66,71,NA,NA,NA,NA,NA,NA,"",57,30,67,60,23,46,23,28,30,61,52,55,51,60,34,38,76,50,86,25,59,67,23,33,40,52,65,66,66,12,10,9,7,13,46,46,46,47,44,44,44,47,45,45,45,48,47,47,47,48,59,58,58,58,59,61,66,66,66,61,"Serie A","Italy","RB","Defender"
"3759","Udinese",229910,"https://sofifa.com/player/229910/svante-ingelsson/20/159586","S. Ingelsson","Svante Ingelsson",21,"1998-06-14",189,83,"Sweden",65,77,950000,3000,"CM, RM","Left",1,3,3,"Medium/Medium","Normal","No",1800000,"","SUB",13,"","2017-07-03",2022,"",NA,63,54,65,68,55,54,NA,NA,NA,NA,NA,NA,"Inflexible",60,50,39,74,52,68,58,40,68,74,63,63,66,60,44,60,34,35,64,58,58,52,62,62,48,64,63,56,52,12,9,10,11,11,59,59,59,64,63,63,63,64,65,65,65,63,63,63,63,63,58,61,61,61,58,57,56,56,56,57,"Serie A","Italy","CM","Midfielder"
"3760","Udinese",182179,"https://sofifa.com/player/182179/sebastian-de-maio/20/159586","S. De Maio","Sebastian De Maio",32,"1987-03-05",190,90,"France",77,77,5500000,17000,"CB","Right",2,3,2,"Medium/High","Normal","No",9400000,"#Strength","SUB",2,"","2019-07-01",2022,"",NA,57,33,38,54,79,79,NA,NA,NA,NA,NA,NA,"Long Passer (CPU AI Only)",11,20,72,50,20,52,23,39,54,54,55,59,53,70,54,61,83,58,92,37,74,78,19,34,46,76,80,80,78,6,5,5,11,7,47,47,47,42,45,45,45,42,45,45,45,44,51,51,51,44,59,66,66,66,59,63,76,76,76,63,"Serie A","Italy","CB","Defender"
"3761","Udinese",230681,"https://sofifa.com/player/230681/giuseppe-pezzella/20/159586","G. Pezzella","Giuseppe Pezzella",21,"1997-11-29",187,85,"Italy",71,83,3900000,7000,"LB, LM","Left",1,4,3,"Medium/Medium","Normal","No",7400000,"","LM",28,"","2017-07-01",2022,"",NA,77,52,64,71,67,75,NA,NA,NA,NA,NA,NA,"",72,49,68,69,36,72,50,37,66,71,78,77,67,69,62,67,58,76,77,48,72,64,59,56,45,60,65,70,68,11,14,6,7,13,64,64,64,66,65,65,65,66,64,64,64,68,65,65,65,68,70,68,68,68,70,69,68,68,68,69,"Serie A","Italy","LB","Defender"
"3762","Udinese",222844,"https://sofifa.com/player/222844/walace-souza-silva/20/159586","Walace","Walace Souza Silva",24,"1995-04-04",188,75,"Brazil",74,80,7000000,12000,"CDM, CM","Right",1,3,3,"Medium/High","Normal","Yes",13300000,"","RES",77,"","2019-08-12",2024,"",NA,67,67,68,68,69,74,NA,NA,NA,NA,NA,NA,"Injury Prone",48,58,61,80,76,66,55,52,76,74,68,66,61,72,66,78,57,68,76,76,80,77,56,69,60,72,74,64,59,10,13,7,14,11,67,67,67,66,68,68,68,66,69,69,69,66,71,71,71,66,67,73,73,73,67,67,70,70,70,67,"Serie A","Italy","CDM","Midfielder"
"3763","Udinese",226436,"https://sofifa.com/player/226436/hidde-ter-avest/20/159586","H. ter Avest","Hidde ter Avest",22,"1997-05-20",182,78,"Netherlands",68,76,1200000,5000,"RB, RWB, RM","Right",1,3,2,"Medium/Medium","Normal","No",2200000,"","SUB",18,"","2018-07-05",2022,"",NA,71,41,55,66,66,70,NA,NA,NA,NA,NA,NA,"Dives Into Tackles (CPU AI Only)",66,44,58,65,33,66,36,29,57,66,72,71,66,61,63,46,66,75,69,31,68,59,39,38,43,67,69,69,72,12,12,9,7,9,54,54,54,58,55,55,55,58,55,55,55,60,57,57,57,60,67,64,64,64,67,67,66,66,66,67,"Serie A","Italy","RB","Defender"
"3764","Udinese",245023,"https://sofifa.com/player/245023/petar-micin/20/159586","P. Micin","Petar Micin",20,"1998-09-29",189,71,"Serbia",65,82,1200000,4000,"RW, ST, LW","Right",1,3,3,"High/Low","Lean","No",2800000,"","RES",14,"","2018-07-01",2021,"",NA,63,65,61,69,34,53,NA,NA,NA,NA,NA,NA,"Selfish, Crowd Favourite",61,67,55,62,58,71,60,57,55,72,63,63,61,59,53,60,54,47,60,69,41,31,59,65,60,60,35,31,29,13,9,11,5,9,63,63,63,65,65,65,65,65,65,65,65,63,59,59,59,63,49,48,48,48,49,47,43,43,43,47,"Serie A","Italy","RW","Forward"
"3765","Udinese",214979,"https://sofifa.com/player/214979/juan-musso/20/159586","J. Musso","Juan Musso",25,"1994-05-06",191,93,"Argentina",78,83,10000000,14000,"GK","Right",1,3,1,"Medium/Medium","Stocky","No",17800000,"","GK",1,"","2018-07-13",2023,"SUB",23,NA,NA,NA,NA,NA,NA,80,77,74,81,44,79,"",20,18,15,31,15,16,16,12,24,20,46,42,32,59,39,56,51,35,70,14,27,18,19,48,25,67,12,14,16,80,77,74,79,81,62.3303667745415,62.3303667745415,62.3303667745415,63.7009169363538,63.6413160733549,63.6413160733549,63.6413160733549,63.7009169363538,63.9757281553398,63.9757281553398,63.9757281553398,64.309331175836,63.299622437972,63.299622437972,63.299622437972,64.309331175836,61.5542071197411,61.3052858683927,61.3052858683927,61.3052858683927,61.5542071197411,60.6677454153182,59.4784250269687,59.4784250269687,59.4784250269687,60.6677454153182,"Serie A","Italy","GK","Goal Keeper"
"3766","Udinese",238282,"https://sofifa.com/player/238282/mamadou-coulibaly/20/159586","M. Coulibaly","Mamadou Coulibaly",20,"1999-02-03",183,77,"Senegal",66,81,1400000,4000,"CM","Right",1,3,3,"Medium/Medium","Lean","No",3300000,"","RES",33,"","2017-07-10",2022,"",NA,72,57,64,65,63,71,NA,NA,NA,NA,NA,NA,"",56,52,63,71,49,64,55,60,65,64,74,71,69,65,72,67,69,70,73,59,67,65,60,61,57,63,66,60,59,13,6,12,6,6,62,62,62,63,63,63,63,63,64,64,64,64,64,64,64,64,64,65,65,65,64,64,64,64,64,64,"Serie A","Italy","CM","Midfielder"
"3767","Udinese",235874,"https://sofifa.com/player/235874/andrija-balic/20/159586","A. Balic","Andrija Balic",21,"1997-08-11",180,70,"Croatia",68,75,1300000,5000,"CM, CDM","Right",1,3,3,"Medium/Medium","Lean","No",2400000,"","SUB",31,"","2016-02-01",2020,"",NA,55,57,71,72,52,55,NA,NA,NA,NA,NA,NA,"Beat Offside Trap, Argues with Officials",73,50,45,72,58,73,68,60,72,75,62,50,67,60,66,66,40,62,55,64,48,54,58,70,45,66,50,54,56,5,6,14,11,12,59,59,59,65,64,64,64,65,67,67,67,66,67,67,67,66,61,61,61,61,61,59,53,53,53,59,"Serie A","Italy","CM","Midfielder"
"3768","Udinese",216320,"https://sofifa.com/player/216320/seko-fofana/20/159586","S. Fofana","Seko Fofana",24,"1995-05-07",184,77,"Ivory Coast",75,82,9000000,14000,"CM, CDM","Right",2,4,3,"High/High","Lean","No",17100000,"","SUB",6,"","2016-07-11",2022,"",NA,72,67,69,76,68,75,NA,NA,NA,NA,NA,NA,"Argues with Officials, Early Crosser",62,60,58,76,50,78,62,42,72,76,74,71,73,74,69,79,62,73,77,78,76,71,72,70,56,70,65,72,68,9,8,9,11,10,70,70,70,72,72,72,72,72,73,73,73,72,73,73,73,72,70,72,72,72,70,70,70,70,70,70,"Serie A","Italy","CM","Midfielder"
"3769","Udinese",225439,"https://sofifa.com/player/225439/rolando-mandragora/20/159586","R. Mandragora","Rolando Mandragora",22,"1997-06-29",183,76,"Italy",76,86,12000000,15000,"CM, CDM","Left",1,3,3,"Medium/High","Lean","No",22800000,"","RCM",38,"","2018-07-26",2023,"",NA,58,63,73,75,74,73,NA,NA,NA,NA,NA,NA,"",65,59,65,78,55,76,66,57,76,76,52,63,72,74,74,70,67,76,75,69,67,75,62,76,52,69,77,75,69,13,14,9,14,16,67,67,67,69,69,69,69,69,71,71,71,70,74,74,74,70,72,75,75,75,72,71,72,72,72,71,"Serie A","Italy","CM","Midfielder"
"3770","Udinese",192612,"https://sofifa.com/player/192612/mato-jajalo/20/159586","M. Jajalo","Mato Jajalo",31,"1988-05-25",182,81,"Bosnia Herzegovina",76,76,6500000,17000,"CM, CDM","Right",1,3,3,"Medium/Medium","Normal","No",11100000,"","SUB",7,"","2019-07-01",2022,"",NA,66,66,74,78,73,79,NA,NA,NA,NA,NA,NA,"Argues with Officials, Finesse Shot",67,61,68,80,64,80,70,72,78,80,63,68,70,70,75,73,71,83,79,71,75,73,61,70,68,71,72,75,70,9,13,6,7,12,69,69,69,71,71,71,71,71,72,72,72,72,75,75,75,72,73,75,75,75,73,72,73,73,73,72,"Serie A","Italy","CM","Midfielder"
"3771","Udinese",245022,"https://sofifa.com/player/245022/nicholas-opoku/20/159586","N. Opoku","Nicholas Opoku",21,"1997-11-08",190,78,"Ghana",68,82,1800000,5000,"CB","Right",1,4,2,"Medium/Medium","Lean","No",4300000,"","RES",4,"","2018-07-18",2022,"",NA,68,37,43,48,68,69,NA,NA,NA,NA,NA,NA,"",39,29,67,51,37,44,30,27,46,49,66,69,56,65,49,62,66,62,71,31,72,68,35,39,41,58,68,70,66,5,8,10,7,9,49,49,49,46,47,47,47,46,46,46,46,48,49,49,49,48,59,60,60,60,59,62,66,66,66,62,"Serie A","Italy","CB","Defender"
"3772","Udinese",201363,"https://sofifa.com/player/201363/ryder-matos/20/159586","R. Matos","Ryder Matos Santos",26,"1993-02-27",180,70,"Brazil",72,73,3700000,14000,"RW, ST, LW","Right",1,3,3,"Medium/Medium","Lean","No",6500000,"","RES",22,"","2016-02-01",2020,"",NA,76,67,63,78,35,68,NA,NA,NA,NA,NA,NA,"Crowd Favourite",62,67,64,70,60,78,66,62,50,79,77,75,78,65,76,70,88,74,67,66,56,26,74,60,66,70,42,28,26,12,7,7,7,11,70,70,70,71,71,71,71,71,70,70,70,70,63,63,63,70,55,51,51,51,55,51,47,47,47,51,"Serie A","Italy","RW","Forward"
"3773","Udinese",238621,"https://sofifa.com/player/238621/rodrigo-nascimento-franca/20/159586","Rodrigo Becão","Rodrigo Nascimento França",23,"1996-01-19",191,79,"Brazil",74,84,8500000,12000,"CB","Right",1,2,2,"Low/Medium","Normal","No",16200000,"","RCB",60,"","2019-07-11",2024,"",NA,58,32,55,46,75,70,NA,NA,NA,NA,NA,NA,"",48,30,75,69,24,36,45,27,65,57,54,62,48,70,47,42,71,60,74,32,74,70,28,39,31,64,76,76,74,5,9,6,6,12,48,48,48,47,46,46,46,47,48,48,48,50,55,55,55,50,64,68,68,68,64,66,72,72,72,66,"Serie A","Italy","CB","Defender"
"3774","Udinese",189288,"https://sofifa.com/player/189288/gabriele-angella/20/159586","G. Angella","Gabriele Angella",30,"1989-04-28",189,79,"Italy",71,71,1900000,10000,"CB","Right",1,3,2,"Low/Medium","Lean","No",3300000,"","RES",30,"","2016-07-01",2020,"",NA,33,37,48,49,75,66,NA,NA,NA,NA,NA,NA,"Leadership",30,30,68,58,44,48,32,30,62,56,33,33,34,64,35,60,64,50,70,26,74,74,30,48,44,66,78,76,70,8,12,15,12,13,47,47,47,42,45,45,45,42,47,47,47,45,54,54,54,45,57,65,65,65,57,59,70,70,70,59,"Serie A","Italy","CB","Defender"
"3775","Udinese",193133,"https://sofifa.com/player/193133/jens-stryger-larsen/20/159586","J. Larsen","Jens Stryger Larsen",28,"1991-02-21",182,82,"Denmark",74,74,4800000,15000,"RB, CB, RM","Right",1,3,3,"Medium/Medium","Normal","No",8200000,"","RM",19,"","2017-08-25",2022,"LB",17,76,55,63,69,72,76,NA,NA,NA,NA,NA,NA,"Diver",70,48,60,66,60,68,62,48,60,70,76,76,71,72,72,68,78,79,75,58,74,74,56,58,50,64,70,76,74,7,8,12,7,9,63,63,63,65,64,64,64,65,64,64,64,66,65,65,65,66,72,70,70,70,72,72,71,71,71,72,"Serie A","Italy","RB","Defender"
"3776","Udinese",219469,"https://sofifa.com/player/219469/stipe-perica/20/159586","S. Perica","Stipe Perica",23,"1995-07-07",192,80,"Croatia",72,77,4200000,12000,"ST","Right",1,2,3,"Medium/Medium","Lean","No",7500000,"","SUB",25,"","2013-08-01",2022,"",NA,66,69,49,65,27,70,NA,NA,NA,NA,NA,NA,"",44,72,76,58,66,66,44,44,38,68,68,65,58,70,41,74,72,64,75,58,66,26,77,50,62,68,20,22,18,10,15,15,9,14,70,70,70,64,67,67,67,64,62,62,62,62,55,55,55,62,46,44,44,44,46,44,44,44,44,44,"Serie A","Italy","ST","Forward"
"3777","Udinese",215651,"https://sofifa.com/player/215651/samir-caetano-de-souza-santos/20/159586","Samir","Samir Caetano de Souza Santos",24,"1994-12-05",189,80,"Brazil",73,77,4700000,11000,"CB, LB","Left",1,2,2,"Medium/High","Normal","No",8300000,"","LCB",3,"","2016-06-30",2021,"",NA,64,33,55,58,74,72,NA,NA,NA,NA,NA,NA,"Power Free-Kick",63,24,68,62,28,58,29,30,58,62,63,64,50,66,36,60,59,67,74,26,78,74,30,47,44,65,73,76,74,11,11,14,11,14,50,50,50,52,50,50,50,52,51,51,51,56,57,57,57,56,67,67,67,67,67,68,71,71,71,68,"Serie A","Italy","CB","Defender"
"3778","Valencia CF",215616,"https://sofifa.com/player/215616/david-jason-remeseiro-salgueiro/20/159586","Jason","David Jason Remeseiro Salgueiro",24,"1994-07-06",178,65,"Spain",75,78,8500000,26000,"RM","Right",1,4,3,"Medium/Low","Normal","Yes",18500000,"","RES",15,"","2019-07-01",2022,"",NA,77,73,71,77,45,64,NA,NA,NA,NA,NA,NA,"Selfish",69,74,62,74,69,78,70,69,66,76,78,76,76,69,74,75,72,70,67,71,48,50,76,73,68,66,43,41,39,9,9,11,11,14,72,72,72,74,74,74,74,74,74,74,74,73,69,69,69,73,61,59,59,59,61,58,53,53,53,58,"La Liga","Spain","RM","Midfielder"
"3779","Valencia CF",220604,"https://sofifa.com/player/220604/jaume-domenech-sanchez/20/159586","Jaume","Jaume Domenech Sánchez",28,"1990-11-05",185,73,"Spain",76,78,6500000,24000,"GK","Right",1,3,1,"Medium/Medium","Normal","Yes",14100000,"","SUB",1,"","2013-09-24",2022,"",NA,NA,NA,NA,NA,NA,NA,74,73,75,82,58,72,"Giant Throw-in",30,11,16,32,18,13,25,13,32,32,58,58,60,69,59,56,72,40,68,12,21,25,16,43,25,56,20,12,22,74,73,75,72,82,62.3303667745415,62.3303667745415,62.3303667745415,63.7009169363538,63.6413160733549,63.6413160733549,63.6413160733549,63.7009169363538,63.9757281553398,63.9757281553398,63.9757281553398,64.309331175836,63.299622437972,63.299622437972,63.299622437972,64.309331175836,61.5542071197411,61.3052858683927,61.3052858683927,61.3052858683927,61.5542071197411,60.6677454153182,59.4784250269687,59.4784250269687,59.4784250269687,60.6677454153182,"La Liga","Spain","GK","Goal Keeper"
"3780","Valencia CF",245331,"https://sofifa.com/player/245331/jordi-escobar-fernandez/20/159586","Jordi Escobar","Jordi Escobar Fernández",17,"2002-02-10",186,74,"Spain",65,80,1100000,2000,"ST","Right",1,3,3,"Medium/Medium","Lean","No",2900000,"","RES",40,"","2018-07-01",2021,"",NA,60,66,48,61,18,47,NA,NA,NA,NA,NA,NA,"",51,70,65,54,63,62,44,36,40,65,58,61,51,62,49,66,64,35,55,57,38,13,66,46,59,65,14,10,16,8,12,15,11,6,63,63,63,60,61,61,61,60,58,58,58,57,49,49,49,57,38,35,35,35,38,36,33,33,33,36,"La Liga","Spain","ST","Forward"
"3781","Valencia CF",229207,"https://sofifa.com/player/229207/alejandro-corredera-alardi/20/159586","Àlex Corredera","Alejandro Corredera Alardi",23,"1996-03-19",178,72,"Spain",63,70,525000,6000,"RM","Left",1,3,2,"Medium/Medium","Normal","No",1200000,"","RES",39,"","2019-01-16",2020,"",NA,56,57,67,67,46,46,NA,NA,NA,NA,NA,NA,"Beat Offside Trap",58,59,55,72,56,70,79,68,74,66,58,55,60,54,66,59,53,29,54,51,46,26,63,60,59,49,53,49,46,10,11,15,14,8,60,60,60,62,62,62,62,62,63,63,63,61,60,60,60,61,50,53,53,53,50,49,49,49,49,49,"La Liga","Spain","RM","Midfielder"
"3782","Valencia CF",172522,"https://sofifa.com/player/172522/daniel-wass/20/159586","D. Wass","Daniel Wass",30,"1989-05-31",181,74,"Denmark",80,80,13500000,42000,"CM, RB, RM","Right",2,3,3,"Medium/Medium","Lean","Yes",28400000,"","RB",18,"","2018-07-10",2022,"SUB",2,73,77,81,77,76,75,NA,NA,NA,NA,NA,NA,"Diver, Argues with Officials",81,75,68,81,71,76,81,85,80,80,73,73,74,80,71,85,66,84,72,77,71,76,73,79,64,75,78,76,75,11,9,10,13,13,75,75,75,77,77,77,77,77,77,77,77,77,78,78,78,77,78,78,78,78,78,77,74,74,74,77,"La Liga","Spain","CM","Midfielder"
"3783","Valencia CF",189271,"https://sofifa.com/player/189271/francis-coquelin/20/159586","F. Coquelin","Francis Coquelin",28,"1991-05-13",177,74,"France",80,80,14500000,43000,"CM, CDM","Right",2,3,3,"Medium/High","Normal","Yes",30500000,"","LCM",17,"","2018-01-11",2022,"",NA,70,66,75,78,78,77,NA,NA,NA,NA,NA,NA,"Injury Prone",68,62,63,81,53,77,68,41,79,81,71,69,75,82,79,74,79,72,77,69,85,81,75,79,52,78,76,82,79,9,9,8,10,15,71,71,71,74,75,75,75,74,76,76,76,75,78,78,78,75,76,79,79,79,76,76,78,78,78,76,"La Liga","Spain","CM","Midfielder"
"3784","Valencia CF",243780,"https://sofifa.com/player/243780/kangin-lee/20/159586","Kangin Lee","<U+C774><U+AC15><U+C778> Kangin Lee",18,"2001-02-19",173,61,"Korea Republic",76,86,11500000,11000,"CAM, LM, RM","Left",1,3,4,"High/Low","Lean","No",26500000,"","SUB",16,"","2018-01-01",2022,"",NA,72,71,75,80,27,49,NA,NA,NA,NA,NA,NA,"Argues with Officials, Crowd Favourite",70,70,45,74,60,80,78,81,72,78,71,73,85,68,87,72,38,58,46,75,50,29,63,80,70,71,26,23,23,11,12,12,8,14,67,67,67,73,72,72,72,73,74,74,74,72,68,68,68,72,53,51,51,51,53,48,39,39,39,48,"La Liga","Spain","CAM","Midfielder"
"3785","Valencia CF",208622,"https://sofifa.com/player/208622/ruben-sobrino-pozuelo/20/159586","Rubén Sobrino","Rubén Sobrino Pozuelo",27,"1992-06-01",185,73,"Spain",77,78,10500000,36000,"ST, RM","Right",1,4,3,"High/Medium","Lean","Yes",22800000,"","SUB",23,"","2019-01-31",2022,"",NA,81,76,63,76,41,67,NA,NA,NA,NA,NA,NA,"Early Crosser",58,78,70,73,73,77,71,57,50,78,78,83,73,73,64,76,64,65,69,75,65,30,75,60,66,69,54,31,21,13,8,11,7,15,75,75,75,73,75,75,75,73,72,72,72,71,64,64,64,71,56,54,54,54,56,53,51,51,51,53,"La Liga","Spain","ST","Forward"
"3786","Valencia CF",234152,"https://sofifa.com/player/234152/andres-pascual-santonja/20/159586","Sito","Andrés Pascual Santonja",22,"1996-11-18",180,70,"Spain",62,68,425000,5000,"LM","Left",1,3,3,"Medium/High","Normal","No",978000,"","RES",33,"","2015-07-01",2020,"",NA,51,60,61,69,43,38,NA,NA,NA,NA,NA,NA,"Power Free-Kick",66,59,38,59,49,70,70,59,59,71,53,49,64,59,63,65,32,33,38,60,45,43,58,61,58,56,57,31,39,15,6,14,10,13,57,57,57,62,61,61,61,62,62,62,62,60,57,57,57,60,51,50,50,50,51,48,44,44,44,48,"La Liga","Spain","LM","Midfielder"
"3787","Valencia CF",212476,"https://sofifa.com/player/212476/alvaro-medran-just/20/159586","Medrán","Álvaro Medrán Just",25,"1994-03-15",176,71,"Spain",75,78,8000000,28000,"CM, CDM, CAM","Right",1,4,3,"Medium/Medium","Lean","Yes",17400000,"","SUB",4,"","2016-07-11",2020,"",NA,60,68,77,72,63,54,NA,NA,NA,NA,NA,NA,"Argues with Officials",70,58,61,81,57,71,70,76,80,77,59,60,67,71,69,78,63,59,55,80,45,59,65,77,80,64,65,66,59,13,14,13,12,10,66,66,66,69,70,70,70,69,72,72,72,70,73,73,73,70,66,68,68,68,66,65,62,62,62,65,"La Liga","Spain","CM","Midfielder"
"3788","Valencia CF",198329,"https://sofifa.com/player/198329/rodrigo-moreno-machado/20/159586","Rodrigo","Rodrigo Moreno Machado",28,"1991-03-06",182,77,"Spain",83,83,27000000,60000,"ST","Left",2,3,4,"High/Medium","Lean","Yes",56700000,"","LS",19,"","2014-12-03",2022,"SUB",9,90,80,74,82,44,70,NA,NA,NA,NA,NA,NA,"Beat Offside Trap, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",72,80,80,80,77,82,83,67,58,82,88,91,81,82,74,83,77,74,71,76,60,31,83,77,77,80,44,41,40,7,13,10,11,5,81,81,81,81,81,81,81,81,80,80,80,79,72,72,72,79,63,59,59,59,63,61,55,55,55,61,"La Liga","Spain","ST","Forward"
"3789","Valencia CF",211688,"https://sofifa.com/player/211688/jose-luis-gaya-pena/20/159586","Gayà","José Luís Gayà Peña",24,"1995-05-25",172,66,"Spain",81,86,21000000,35000,"LB","Left",2,3,4,"High/Medium","Lean","Yes",45700000,"","LB",14,"","2012-09-13",2023,"SUB",3,85,61,77,80,75,69,NA,NA,NA,NA,NA,NA,"Diver, Crowd Favourite",80,61,52,81,58,79,80,49,75,81,83,87,83,82,80,62,52,83,61,59,76,77,74,75,52,76,75,80,82,13,10,9,12,9,69,69,69,77,75,75,75,77,76,76,76,78,77,77,77,78,80,78,78,78,80,79,73,73,73,79,"La Liga","Spain","LB","Defender"
"3790","Valencia CF",224411,"https://sofifa.com/player/224411/goncalo-manuel-ganchinho-guedes/20/159586","Gonçalo Guedes","Gonçalo Manuel Ganchinho Guedes",22,"1996-11-29",179,68,"Portugal",83,88,34500000,46000,"LM, ST","Right",2,4,4,"High/Medium","Normal","Yes",75000000,"#Speedster, #Dribbler","LM",7,"","2018-08-29",2024,"SUB",17,90,79,76,84,36,70,NA,NA,NA,NA,NA,NA,"Selfish, Argues with Officials, Early Crosser, Crowd Favourite",78,77,60,77,71,86,76,70,69,81,91,90,82,83,77,85,63,76,68,84,67,50,77,77,69,80,24,34,30,9,12,11,9,9,78,78,78,81,81,81,81,81,80,80,80,80,74,74,74,80,63,60,60,60,63,59,51,51,51,59,"La Liga","Spain","LM","Midfielder"
"3791","Valencia CF",189513,"https://sofifa.com/player/189513/daniel-parejo-munoz/20/159586","Parejo","Daniel Parejo Muñoz",30,"1989-04-16",182,74,"Spain",86,86,41000000,69000,"CM","Right",2,4,3,"Medium/Medium","Lean","Yes",86100000,"#Playmaker  , #FK Specialist, #Complete Midfielder","RCM",10,"","2011-07-01",2022,"",NA,41,80,88,79,70,69,NA,NA,NA,NA,NA,NA,"Diver, Leadership, Finesse Shot",84,80,61,91,72,79,89,90,88,85,49,35,64,78,72,79,49,76,71,82,58,81,81,86,83,85,69,68,65,5,9,12,14,8,74,74,74,76,77,77,77,76,80,80,80,77,83,83,83,77,74,78,78,78,74,71,69,69,69,71,"La Liga","Spain","CM","Midfielder"
"3792","Valencia CF",241686,"https://sofifa.com/player/241686/manuel-vallejo-galvan/20/159586","Manu Vallejo","Manuel Vallejo Galván",22,"1997-02-14",167,72,"Spain",75,86,11500000,28000,"ST, CAM, LM","Right",1,3,3,"Medium/Medium","Normal","No",26500000,"","RES",2,"","2019-02-07",2023,"",NA,77,76,68,77,40,62,NA,NA,NA,NA,NA,NA,"Early Crosser",67,78,69,71,64,77,70,73,56,74,79,75,81,71,89,78,68,71,65,72,41,25,72,69,76,62,41,39,41,7,14,8,11,10,73,73,73,73,73,73,73,73,72,72,72,72,65,65,65,72,58,53,53,53,58,55,49,49,49,55,"La Liga","Spain","ST","Forward"
